0.00-21.84 :  each system
1896.84-1900.84 :  So what I'd be a bit worried about is if someone was.
1900.84-1905.84 :  Previously developed habits of expecting to control certain sound.
1905.84-1907.84 :  With their controller.
1907.84-1910.84 :  And then they.
1910.84-1913.84 :  You know, they get ours and it doesn't have that.
1913.84-1916.84 :  You know, something.
1916.84-1920.84 :  And I think that you're saying about categorizing.
1920.84-1924.84 :  Maybe I could suggest we break them down three.
1924.84-1926.84 :  One will be audio controls.
1926.84-1928.84 :  One will be video controls.
1928.84-1930.84 :  You can get on the device.
1930.84-1933.84 :  This may not match very well to.
1933.84-1935.84 :  But I think that.
1935.84-1937.84 :  From a manufacturer's point of view.
1937.84-1938.84 :  Yeah.
1938.84-1940.84 :  Designed with vice, but I think.
1940.84-1943.84 :  From a point of view of the person using it by.
1943.84-1946.84 :  You know, TV is something they see and something they hear.
1946.84-1949.84 :  And it's something they do other things to.
1949.84-1950.84 :  Right.
1950.84-1952.84 :  What we could have like three buckets.
1952.84-1953.84 :  We could throw some.
1953.84-1954.84 :  Like.
1954.84-1955.84 :  Yeah.
1955.84-1956.84 :  Yeah.
1956.84-1958.84 :  And then from there, the side is basic.
1958.84-1959.84 :  This is.
1959.84-1962.84 :  And I think that.
1962.84-1964.84 :  I think that.
1964.84-1965.84 :  It might help.
1965.84-1966.84 :  The visual.
1966.84-1967.84 :  And it would actually help.
1967.84-1968.84 :  With the.
1968.84-1969.84 :  But.
1969.84-1971.84 :  Okay.
1971.84-1972.84 :  Okay.
1972.84-1973.84 :  Okay.
1973.84-1974.84 :  Okay.
1974.84-1975.84 :  Okay.
1975.84-1976.84 :  I'm.
1976.84-1977.84 :  I'm.
1977.84-1978.84 :  I'm.
1978.84-1979.84 :  I'm.
1979.84-1980.84 :  I'm.
1980.84-1981.84 :  I'm.
1981.84-1982.84 :  I'm.
1982.84-1983.84 :  And.
1983.84-1984.84 :  I'm.
1984.84-1985.84 :  I'm.
1985.84-1986.84 :  I'm.
1986.84-1987.84 :  I'm.
1987.84-1994.84 :  I'm.
1994.84-2000.84 :  You know,
2000.84-2006.84 :  I do.
2006.84-2009.84 :  Just.
2009.84-2011.84 :  So.
2011.84-2018.84 :  And I'm just just to ask not to go out and ask you a question.
2018.84-2024.84 :  And start with the question.
2024.84-2028.08 :  Yeah, just I just wanted to ask then before we wrap up,
2028.08-2033.44 :  should we agree for sake of sort of clarity and when we resume
2033.44-2035.32 :  that we'll use this idea, games,
2035.32-2037.84 :  proposal, we think these two sort of buttons.
2037.84-2040.52 :  Anything we discuss about them is sort of,
2040.52-2041.52 :  okay, we're talking about this.
2041.52-2042.52 :  Should we do that?
2042.52-2043.52 :  Yeah.
2043.52-2044.52 :  Okay.
2044.52-2045.52 :  Just about the,
2045.52-2046.52 :  about some ongoing,
2046.52-2048.52 :  the device group,
2048.52-2050.52 :  things like on-off,
2050.52-2053.52 :  because they don't have anything to do with what you see.
2053.52-2057.52 :  I mean, in terms of picture and entertainment value.
2057.52-2059.52 :  You know, so,
2059.52-2060.52 :  in channel.
2060.52-2061.52 :  In channel.
2061.52-2064.52 :  Because the on-off also goes,
2064.52-2065.52 :  you know, on-off,
2065.52-2066.52 :  like how, not on-off sound,
2066.52-2068.52 :  or on-off video.
2069.52-2071.52 :  You know, on your TV,
2071.52-2073.52 :  but you might want to, you know, turn off the sound,
2073.52-2075.52 :  say you want to pick up for the mute button.
2075.52-2080.52 :  So, you have, you have a choice to put it on to others,
2080.52-2082.52 :  or a device.
2082.52-2083.52 :  Device, basically,
2083.52-2085.52 :  anything which we can't categorize.
2085.52-2086.52 :  Anything you have,
2086.52-2087.52 :  or you,
2087.52-2088.52 :  just like,
2088.52-2089.52 :  just like,
2089.52-2090.52 :  something,
2090.52-2091.52 :  something.
2091.52-2092.52 :  Anything to do with what you hear,
2092.52-2094.52 :  or you put that into others.
2094.52-2097.52 :  And the video is anything that you can see.
2097.52-2099.52 :  This is right.
2099.52-2100.52 :  Yeah.
2100.52-2101.52 :  And then,
2101.52-2102.52 :  actually,
2102.52-2103.52 :  like,
2103.52-2105.52 :  something that you want to share.
2105.52-2106.52 :  Okay.
2106.52-2108.52 :  And then,
2108.52-2110.52 :  I suppose quite likely what happened is,
2110.52-2111.52 :  you know, the device category,
2111.52-2112.52 :  there might be some of them,
2112.52-2113.52 :  just like,
2113.52-2114.52 :  a bit slow,
2114.52-2115.52 :  standard,
2115.52-2116.52 :  and others which are maybe,
2116.52-2117.52 :  like random,
2117.52-2118.52 :  which we have,
2118.52-2119.52 :  rather, they push it up.
2119.52-2120.52 :  We needed some of them.
2120.52-2121.52 :  Even,
2121.52-2122.52 :  even if it doesn't matter,
2122.52-2124.52 :  clearly what happens is that people at least have some,
2124.52-2125.52 :  you know, mine,
2125.52-2126.52 :  it's easy to use.
2126.52-2128.52 :  I think that's what we're doing.
2128.52-2130.52 :  And I guess from the corner part,
2130.52-2131.52 :  you see,
2131.52-2132.52 :  you need to do as well,
2132.52-2133.52 :  because it's like,
2133.52-2134.52 :  based on,
2134.52-2135.52 :  okay.
2135.52-2136.52 :  So, yeah,
2136.52-2137.52 :  yes.
2137.52-2138.52 :  But,
2138.52-2139.52 :  I'm going to look at it
2139.52-2140.52 :  because if we were,
2140.52-2141.52 :  we're,
2141.52-2142.52 :  you know,
2142.52-2143.52 :  starting with that,
2143.52-2144.52 :  something that you can,
2144.52-2145.52 :  correct,
2145.52-2146.52 :  but,
2146.52-2147.52 :  you know,
2147.52-2148.52 :  it's like,
2148.52-2149.52 :  it's like,
2149.52-2150.52 :  it's like,
2150.52-2151.52 :  it's like,
2151.52-2152.52 :  it's like,
2152.52-2153.52 :  it's like,
2153.52-2154.52 :  it's like,
2154.52-2155.52 :  it's like,
2156.52-2157.52 :  it's like,
2157.52-2158.52 :  it's like,
2158.52-2159.52 :  it's like,
2159.52-2160.52 :  it's like,
2160.52-2161.52 :  it's like,
2161.52-2162.52 :  it's like,
2162.52-2163.52 :  it's like,
2163.52-2164.52 :  yeah.
2164.52-2165.52 :  And we need to go and find out
2165.52-2167.52 :  what we picked up the lunch today.
2167.52-2170.52 :  Yeah.
2170.52-2174.90 :  We can see that they are super smokey.
2174.90-2194.38 :  Don't let it take a moment of light to shut down each and every remaining person
2194.38-2198.94 :  is comfortable Let it go.
2198.94-2200.94 :  you
2228.94-2230.94 :  you
2258.94-2260.94 :  you
